ID Servicio,Servicio,Precio,Duración,AgendaServicios
QRMC,Quick Refresh - Mediano Pelo Corto,$MXN380,2:00,"2,1,3,9,8,11,13,14,27,37,42,47,51,56,58,64,68,69,74,81,84,92,93,103,105,106,109,112,113,117,119,114,124,127,129,135,137,138,139,140,141,142,143,150,38,88,155,159,160,162,166,167,169,170,171,172,178,182,183,184,187,192,198,201,206,211,213,217,218,219,222,224,232,233,237,240,253,272,284,286,287,288,292,293,294,296,305,306,307,320,321,328,330,342,347,348,360,361,362,369,370,371,372,376,382,383,386,399,408,412,413,415,421,422,425,426,427,428,431,437,438,439,440,446,456,458,460,462,463,471,473,482,484,490,501,505,511,525,526,530,533,536,538,539,541,546,548,552,554,555,556,559,565,574,578,580,581,591,592,593,602,604,607,611,616,619,620,622,630,631,633,638,639,650,654,666,669,674,673,680,690,703,710,715,720,723,728,729,731,735,742,749,751,753,766,769,782,785,789,795,803,808,809,810,814,823,830,831,833,834,836,846,849,851,861,870,872,874,876,878,890,892,900,901,907,912,913,914,925,927,928,929,935,941,942,946,955,956,962,965,966,868,976,985,988,994,995,1000,1003,1012,1013,1018,1023,1035,1038,1039,1040,1041,1047,1051,1054,1058,1060,1063,1064,1067,1069,1073,1075,1079,1086,1087,1088,1094,1095,1098,1101,1110,1111,1112,1113,1120,1121,1123,1126,1127,1128,1131,1133,1136,1142,1152,1153,1154,1165,1169,1183,1185,1193,1204,1205,1208,1211,1217,1220,1224,1027,1237,1239,1244,1247,1249,1250,1251,1252,1253,1260,1261,1263,1265,1273,1274,1275,1276,1281,1287,1289,1290,1296,1300,1309,1311,1316,1323,1324,1327,1347,1355,1359,1363,1364,1367,1368,1372,1374,1376,1381,1385,1389,1390,1399,1403,1413,1418,1419,1435,1436,1442,1444,1445,1446,1447,1449,1450,1458,1464,1465,1467,1474,1482,1487,1488,1493,1496,1497,1508,1511,1516,1529,1531,1534,1536,1548,1549,1551,1552,1557,1558,1560,1567,1571,1573,1581,1583,1584,1590,1596,1597,1608,1610,1626,1638,1640,1643,1644,1645,1646,1649,1651,1652,1654,1655,1656,1662,1675,1678,1681,1683,1700,1701,1788,1811,1816,1849,1887,1965,1966,2012,2046,2047,2064,2111,2162,2178,2313,2333,2421,2653,2773,2838,2869,2942,3233,3234,3240,3247,3275,3325,3336,3337,3682"
QRML,Quick Refresh - Mediano Pelo Largo,$MXN440,,"1736,1783,1794,1867,1981,2054,2271,2283,2304,2555,2606,2726,2739,2821,3006,3058,3338,3804,3937,3955,4470"
QRMM,Quick Refresh - Mediano Pelo Medio,$MXN410,,"1716,1734,1740,1753,1750,1757,1763,1764,1758,1765,1775,1777,1806,1821,1842,1844,1853,1857,1882,1884,1890,1894,1996,2023,2035,2052,2069,2088,2089,2096,2099,2101,2117,2143,2181,2186,2204,2199,2232,2239,2252,2260,2261,2302,2321,2323,2325,2350,2368,2374,2389,2403,2414,2420,2427,2446,2464,2478,2482,2486,2495,2512,2513,2523,2547,2583,2589,2590,2606,2613,2617,2620,2629,2633,2685,2697,2706,2736,2737,2738,2791,2795,2797,2803,2806,2853,2887,2899,2900,2921,2927,2928,2946,2960,2967,2970,2979,2980,2996,2997,3000,3069,3070,3073,3076,3101,3108,3117,3119,3123,3130,3132,3153,3250,3261,3269,3298,3345,3352,3355,3356,3386,3387,3430,3451,3472,3495,3512,3518,3576,3577,3602,3621,3638,3647,3651,3686,3705,3733,3788,3814,3887,3895,3896,3913,3970,4001,4018,4020,4027,4077,4080,4129,4140,4139,4151,4203,4206,4207,4223,4288,4317,4341,4351,4352,4383,4386,4439,4442,4461,4462,4467,4468,4479,4514,4516,4600,4624,4625,4645,4700,4731,4762,4803,4867,4955"
RAN,Rapado por nudos,$MXN300,,"3918,4063,4172,4422,4799,4924,4935"
RNM,Remoción de Nudos Media Sesión,$MXN250,,"3887,3914,3971,3977,3986,3992,3303,4402,4566,4716,4759,4760"
RNC,Remoción Nudos Completa,$MXN500,,"1804,1820,1830,1914,1925,1985,1993,2105,2120,2173,2291,2348,2461,2463,2469,2470,2494,2517,2533,2544,2553,2557,2570,2578,2599,2600,2605,2627,2639,2643,2650,2666,2710,2714,2719,2729,2746,2770,2771,2799,2800,2812,2828,2926,2961,2988,2995,3009,3012,3036,3039,3049,3064,3089,3173,3174,3177,3308,3318,3320,3321,3326,3363,3364,3398,3443,3474,3588,3603,3691,3720,3723,3807,3856,3859,3910,4229,4236,4286,4303,4390,4445,4571,4617,4697,4733,4791,4794"
RNLS,Remoción Nudos Ligero  - Perro Chico,$MXN300,,"2226,2306,2308,2317"
RNLX,Remoción Nudos Ligero - Perro Extra Grande,$MXN500,,2315
RNLL,Remoción Nudos Ligero - Perro Grande,$MXN400,0:30,"2294,2344,2352,3254,3262"
RNLM,Remoción Nudos Ligero - Perro Mediano,$MXN350,,"1783,2088"
RNMX,Remoción Nudos Moderado - Perro Extra Grande,$MXN700,0:30,"2311,2497,2498,2499"
RNML,Remoción Nudos Moderado - Perro Grande,$MXN600,,2075
RNMM,Remoción Nudos Moderado - Perro Mediano,$MXN550,1:00,"54,71,80,83,118,145,174,186,194,215,230,250,465,518,522,867,1380,1517,2239,2377,2392,2394,2412,2422,2425,2429,2433,2500,2514,3268,3273,3509,3520,3524"
RNSS,Remoción Nudos Severo - Perro Chico,$MXN600,,"1797,1808,1945,2114"
RNSX,Remoción Nudos Severo - Perro Extra Grande,$MXN800,,
RNSL,Remoción Nudos Severo - Perro Grande,$MXN700,,"1799,1814,1822,1953,2026,2052,2206,2207,1812,1897,2496,2612"
RNSM,Remoción Nudos Severo - Perro Mediano,$MXN650,,
STP,Sesión Stripping Pelo Duro (x día - 3 hrs),$MXN350,3:00,"3632,4718,4821,4908,4909"
SCC,Short Coat - Chico,$MXN430,0:30,"1712,1714,1725,1727,1769,1766,1792,1803,1846,1856,1863,1878,1898,1900,1901,1916,1950,1957,2005,2025,2028,2062,2090,2128,2136,2146,2172,2177,2196,2203,2211,2253,2259,2278,2300,2307,2329,2367,2382,2390,2400,2402,2413,2419,2436,2460,2471,2483,2484,2541,2562,2579,2596,2597,2604,2625,2638,2681,2691,2695,2704,2727,2731,2747,2774,2801,2819,2859,2876,2879,2886,2913,2930,2932,2971,3051,3053,3063,3091,3128,3168,3184,3219,3228,3230,3231,3246,3263,3266,3267,3270,3283,3291,3305,3332,3368,3377,3410,3431,3475,3482,3486,3522,3541,3574,3586,3694,3732,3765,3773,3775,3783,3835,3860,3901,3909,3919,3927,3951,3975,3990,3993,3994,4004,4017,4032,4051,4052,4061,4062,4069,4112,4120,4175,4186,4188,4222,4225,4247,4259,4295,4297,4331,4343,4353,4354,4356,4396,4416,4508,4515,4524,4539,4560,4568,4570,4576,4606,4605,4641,4651,4652,4659,4660,4663,4674,4723,4752,4775,4828,4842,4843,4868,4886,4890,4919,4956,4969,4977,4981"
SCX,Short Coat - Extra Grande,$MXN630,,"1860,2010,2277,2671,2851,3023,3285,3468,3658,3845,4360,4499"
SCL,Short Coat - Grande,$MXN530,,"1721,1719,1726,1735,1841,1918,2022,2195,2206,2207,2552,2700,2834,2897,2924,3029,3249,3532,3533,3539,3702,3797,3948,4103,4104,4105,4150,4177,4453,4736,4844,4920"
SCM,Short Coat - Mediano,$MXN480,0:45,"1713,1737,1768,1785,1786,1805,1815,1823,1851,1852,1885,1923,1930,1946,1954,1956,2027,2031,2076,2097,2103,2137,2157,2194,2216,2249,2272,2275,2345,2349,2360,2361,2401,2450,2453,2454,2491,2501,2540,2548,2549,2574,2660,2683,2699,2756,2762,2788,2845,2850,2854,2905,2933,2959,3025,3057,3088,3094,3138,3139,3147,3165,3187,3224,3245,3251,3281,3300,3314,3369,3395,3418,3428,3455,3457,3476,3536,3540,199,3571,3628,3650,3661,3671,3714,3718,3750,3769,3776,3790,3832,3879,3900,3920,3947,3959,3968,3980,4047,4070,4109,4126,4134,4138,4144,4148,4174,4255,4290,4316,4363,4384,4395,4400,4440,4459,4541,4542,4675,4686,4701,4770,4779,4855,4858,4859,4871,4915,4918,4946,4966,4985,4996"
STC,Straight Coat - Chico,$MXN480,,"1723,1733,1738,1745,1748,1749,1751,1752,1755,1773,1782,1784,1797,1798,1808,1827,1837,1840,1864,1889,1902,1915,1919,1920,1925,1927,1929,1951,1952,1945,1973,1977,1980,1982,1983,1985,1998,1989,2000,2001,2002,2015,2016,2017,2030,2041,2057,2063,2074,2082,2083,2085,2086,2087,2091,2102,2106,2121,2141,2142,2144,2155,2158,2159,2160,2166,2173,2175,2179,2184,2197,2198,2213,2214,2217,2220,2223,2224,2225,2231,2244,2246,2254,2257,2274,2276,2292,2293,2294,2310,2316,2317,2326,2332,2336,2369,2391,2415,2425,2428,2429,2432,2439,2442,2444,2445,2457,2459,2462,2463,2477,2492,2494,2500,2503,2504,2505,2525,2531,2553,2556,2559,2560,2572,2573,2585,2591,2592,2600,2602,2608,2611,2626,2627,2639,2640,2643,2646,2649,2650,2662,2667,2672,2673,2674,2688,2689,2701,2708,2733,2734,2743,2744,2745,2751,2752,2763,2764,2766,2771,2796,2799,2800,2804,2812,2814,2818,2830,2858,2857,2867,2871,2889,2893,2902,2908,2909,2914,2916,2922,2923,2938,2947,2953,2954,2963,2981,2982,2986,2987,2989,2994,3005,3009,3010,3014,3017,3038,3052,3062,3079,3082,3083,3095,3102,3103,3116,3131,3161,3162,3163,3174,3175,3181,3182,3185,3188,3195,3197,3206,3211,3216,3217,3220,3227,3235,3238,3241,3265,3273,3284,3287,3288,3293,3309,3318,3323,3324,3341,3346,3349,3357,3359,3365,3366,3367,3379,3383,3389,3396,3401,3402,3411,3412,3413,3414,3415,3416,3421,3438,3444,3445,3461,3466,3474,3478,3480,3487,3503,3504,3507,3510,3521,3523,3534,3548,3549,3552,3557,3559,3470,3565,3558,3570,3578,3580,3585,3589,3591,3601,3603,3604,3605,3607,3609,3615,3623,3626,3635,3639,3641,3648,3649,3652,3653,3677,3683,3684,3687,3698,3700,3706,3721,3739,3741,3743,3744,3748,3751,3767,3772,3779,3793,3798,3815,3821,3823,3824,3831,3834,3850,3851,3856,3862,3864,3867,3868,3870,3882,3888,3889,3902,3905,3906,3912,3915,3933,3934,3935,3938,3943,3946,3953,3954,3963,3964,3971,3976,3978,3979,3986,3989,4005,4014,4015,4016,4024,4037,4039,4050,4053,4059,4060,4063,4065,4066,4073,4074,4093,4094,4108,4110,4119,4127,4130,4136,4146,4149,4159,4176,4183,4184,4190,4189,4187,4193,4194,4196,4201,4205,4215,4216,4217,4218,4219,4221,4231,4236,4243,4244,4245,4248,4251,4252,4256,4257,4261,4264,4273,4274,4280,4281,4284,4286,4299,4300,4311,3303,4327,4330,4332,4335,4336,4340,4348,4349,4350,4355,4358,4370,4378,4388,4393,4402,4412,4418,4420,4419,4426,4427,4430,4437,4441,4444,4455,4456,4457,4465,4477,4480,4481,4489,4507,4509,4502,4505,4513,4518,4519,4520,4529,4532,4536,4544,4545,4565,4572,4604,4607,4610,4611,4622,4623,4630,4631,4632,4633,4637,4638,4639,4640,4595,4596,4597,4642,1843,4648,4656,4662,4666,4667,4669,4671,4685,4703,4707,4711,4712,4713,4719,4720,4721,4722,4728,4729,4730,4734,4737,4738,4745,4749,4758,4759,4761,4763,4765,4771,4782,4801,4804,4815,4822,4823,4826,4827,4835,4870,4873,4876,4877,4879,4880,4883,4896,4897,4904,4910,4911,4912,4930,4932,4934,4936,4937,4938,4939,4941,4945,4957,4968,4970,4971,4972,4973,4978,4979,4982,4983,4987,4988,4997"
STX,Straight Coat - Extra Grande,$MXN680,,"1845,2153,2387,2682,2868,3015,3226,3353,3974,4429"
STL,Straight Coat - Grande,$MXN580,,"1791,1799,1850,1870,1921,1926,1942,2009,2048,2112,2124,2190,2256,2280,2281,2341,2438,2515,2536,2621,2634,2735,2844,3028,3218,3306,3329,3342,3406,3462,3467,3471,3505,3513,3526,3542,3597,3624,3644,3690,3695,3716,3737,3780,3843,3917,3991,4154,4237,4310,4313,4347,4382,4491,4566,4591,4592,1832,4665,4705,4724,4777,4798,4807,4836,4892,4967"
STM,Straight Coat - Mediano,$MXN530,,"1732,1746,1790,1801,1802,1831,1838,1861,1891,1893,1912,1964,1997,2003,2018,2024,2044,2045,2051,2104,2110,2130,2133,2167,2168,2219,2234,2235,2242,2255,2273,2282,2305,2337,2346,2351,2408,2426,2435,2451,2456,2474,2502,2519,2532,2554,2593,2619,2658,2684,2720,2721,2741,2759,2779,2781,2790,2813,2911,2925,3054,3068,3113,3133,3140,3160,3171,3172,3180,3201,3202,3239,3274,3280,3301,3328,3380,3423,3441,3517,3547,3590,3612,3701,3738,3768,3786,3848,3849,3908,3911,3921,3944,4007,4056,4107,4115,4246,4291,4298,4307,4380,4503,4599,4601,4612,4619,4620,4621,4689,4698,4699,4768,4780,4802,4812,4813,4837,4838,4850,4882,4903,4905,4907,4954,4960"
VUS,Volume Up - Chico,$MXN430,1:00,"1702,1703,1705,1729,1728,1730,1741,1747,1759,1767,1771,1772,1776,1796,1813,1817,1818,1819,1820,1824,1830,1833,1834,1835,1839,1847,1876,1877,1879,1880,1895,1897,1903,1904,1905,1909,1910,1911,1914,1917,1931,1938,1939,1940,1941,1947,1948,1949,1969,1970,1971,1972,1974,1975,1979,1984,1995,1999,2004,2007,2008,2020,2032,2034,2040,2050,2058,2059,2060,2061,2073,2077,2080,2081,2108,2119,2120,2126,2131,2147,2148,2149,2169,2170,2171,2183,2185,2191,2192,2193,2201,2202,2208,2209,2238,2245,2258,2265,2287,2288,2289,2290,2291,2296,2303,2314,2318,2319,2320,2328,2338,2339,2344,2352,2354,2355,2371,2377,2378,2379,2380,2381,2388,2393,2397,2399,2404,2406,2407,2412,2418,2437,2443,2447,2449,2458,2461,2466,2469,2470,2473,2479,2480,2481,2489,2490,2521,2524,2528,2534,2535,2542,2544,2545,2550,2551,2565,2566,2570,2571,2584,2586,2587,2588,2594,2607,2622,2628,2636,2641,2644,2645,2648,2651,2652,2663,2664,2665,2666,2678,2687,2690,2693,2702,2703,2707,2713,2717,2728,2729,2730,2760,2761,2765,2792,2798,2828,2832,2839,2840,2841,2843,2846,2861,2864,2865,2866,2873,2884,2891,2895,2896,2910,2915,2918,2934,2941,2943,2944,2950,2951,2957,2958,2964,2973,2974,2976,2983,2984,2988,2991,2998,2999,3008,3024,3034,3041,3042,3043,3049,3056,3060,3064,3085,3092,3093,3097,3099,3100,3120,3125,3129,3141,3143,3144,3145,3152,3158,3159,3167,3169,3179,3186,3193,3207,3213,3214,3229,3244,3248,3254,3255,3256,3257,3258,3272,3279,3311,3315,3322,3327,3330,3331,3343,3344,3350,3362,3372,3375,3376,3384,3385,3394,3399,3400,3403,3404,3405,3408,3409,3420,3429,3439,3442,3447,3448,3452,3464,3465,3485,3493,3494,3497,3498,3499,3501,3514,3516,3519,3520,3527,3529,3530,3550,3569,3584,3594,3595,3598,3610,3611,3613,3617,3618,3625,3636,3642,3643,3645,3657,3667,3669,3670,3672,3676,3678,3679,3680,3699,3707,3710,3719,3720,3729,3730,3731,3747,3749,3752,3753,3755,3756,3757,3759,3762,3766,3774,3778,3789,3794,3813,3817,3820,3822,3826,3827,3828,3839,3840,3841,3855,3869,3871,3876,3877,3878,3885,3891,3892,3898,3925,3939,3940,3941,3957,3973,3977,3984,3999,4000,4022,4030,4031,4045,4048,4054,4055,4064,4071,4072,4076,4079,4083,4084,4088,4089,4095,4096,4099,4101,4113,4128,4145,4161,4162,4172,4178,4179,4181,4185,4199,4200,4220,4224,4228,4233,4249,4265,4267,4271,4272,4275,4276,4283,4285,4293,4294,4305,4314,4318,4319,4321,4337,4338,4339,4359,4376,4387,4389,4391,4392,4401,4413,4414,4415,4443,4449,4460,4472,4473,4475,4492,4493,4494,4496,4501,4528,4534,4540,4563,4564,4567,4582,4593,4598,4626,4628,4629,1886,4646,4670,4672,4673,4679,4680,4681,4683,4710,4714,4735,4741,4742,4744,4746,4756,4757,4773,4784,4785,4793,4795,4796,4797,4805,4808,4818,4830,4831,4832,4840,4857,4874,4875,4889,4893,4895,4898,4914,4947,4948,4949,4951,4952,4959,4975,4989,4990"
VUX,Volume Up - Extra Grande,$MXN630,1:30,"1704,1865,1936,2145,2347,2487,2497,2577,2676,2715,2837,2880,3296,3582,3872,4839,4860"
VUL,Volume Up - Grande,$MXN530,1:30,"1756,1762,1812,1814,1822,1825,1881,1888,1892,1955,1943,1976,2039,2070,2113,2151,2188,2236,2297,2315,2330,2358,2475,2496,2624,2637,2680,2855,2892,2948,3045,3146,3190,3196,3262,3290,3787,3961,4166,4521,4649,4902"
VUM,Volume Up - Mediano,$MXN480,1:00,"1742,1826,1836,1859,1874,1937,1967,1978,2049,2094,2100,2154,2165,2182,2251,2286,2327,2375,2488,2493,2506,2529,2537,2575,2623,2630,2635,2642,2679,2705,2770,2785,2789,2823,2827,2829,2842,2872,2878,2898,2917,2936,2939,2990,3011,3021,3055,3066,3077,3105,3149,3155,3176,3194,3225,3232,3243,3297,3374,3388,3436,3446,3456,3491,3581,3599,3637,3640,3685,3688,3761,3784,3799,3833,3916,3960,3985,4006,4008,4092,4153,4250,4292,4498,4500,4575,4583,4578,4579,4580,1793,1829,4693,4702,4747,4774,4783,4825,4869,4888,4931,4933,4976"
